RecordID,Country,Region,Year,Gender,Demographics Response,Question,Value
3,Angola,Central Africa,2015,F,25-34,... if she burns the food,10.0
3,Angola,Central Africa,2015,F,15-24,... if she burns the food,10.6
3,Angola,Central Africa,2015,F,35-49,... if she burns the food,11.0
3,Angola,Central Africa,2015,M,35-49,... if she burns the food,3.7
3,Angola,Central Africa,2015,M,25-34,... if she burns the food,5.3
3,Angola,Central Africa,2015,M,15-24,... if she burns the food,7.7
353,Angola,Central Africa,2015,F,15-24,... for at least one specific reason,24.9
353,Angola,Central Africa,2015,F,25-34,... for at least one specific reason,24.4
353,Angola,Central Africa,2015,F,35-49,... for at least one specific reason,26.6
73,Angola,Central Africa,2015,F,15-24,... if she argues with him,14.9
73,Angola,Central Africa,2015,F,25-34,... if she argues with him,14.1
73,Angola,Central Africa,2015,F,35-49,... if she argues with him,17.1
143,Angola,Central Africa,2015,F,15-24,... if she goes out without telling him,13.8
143,Angola,Central Africa,2015,F,25-34,... if she goes out without telling him,14.0
143,Angola,Central Africa,2015,F,35-49,... if she goes out without telling him,16.3
213,Angola,Central Africa,2015,F,15-24,... if she neglects the children,16.5
213,Angola,Central Africa,2015,F,25-34,... if she neglects the children,15.6
213,Angola,Central Africa,2015,F,35-49,... if she neglects the children,16.7
283,Angola,Central Africa,2015,F,15-24,... if she refuses to have sex with him,10.0
283,Angola,Central Africa,2015,F,25-34,... if she refuses to have sex with him,11.6
283,Angola,Central Africa,2015,F,35-49,... if she refuses to have sex with him,14.0
353,Angola,Central Africa,2015,M,15-24,... for at least one specific reason,23.4
353,Angola,Central Africa,2015,M,25-34,... for at least one specific reason,18.5
353,Angola,Central Africa,2015,M,35-49,... for at least one specific reason,15.7
73,Angola,Central Africa,2015,M,15-24,... if she argues with him,12.6
73,Angola,Central Africa,2015,M,25-34,... if she argues with him,10.6
73,Angola,Central Africa,2015,M,35-49,... if she argues with him,7.7
143,Angola,Central Africa,2015,M,15-24,... if she goes out without telling him,8.9
143,Angola,Central Africa,2015,M,25-34,... if she goes out without telling him,8.1
143,Angola,Central Africa,2015,M,35-49,... if she goes out without telling him,7.0
213,Angola,Central Africa,2015,M,15-24,... if she neglects the children,13.5
213,Angola,Central Africa,2015,M,25-34,... if she neglects the children,10.7
213,Angola,Central Africa,2015,M,35-49,... if she neglects the children,9.3
283,Angola,Central Africa,2015,M,15-24,... if she refuses to have sex with him,6.3
283,Angola,Central Africa,2015,M,25-34,... if she refuses to have sex with him,5.5
283,Angola,Central Africa,2015,M,35-49,... if she refuses to have sex with him,4.4
7,Benin,West Africa,2017,F,15-24,... if she burns the food,13.2
7,Benin,West Africa,2017,F,25-34,... if she burns the food,13.4
7,Benin,West Africa,2017,F,35-49,... if she burns the food,15.5
7,Benin,West Africa,2017,M,35-49,... if she burns the food,5.3
7,Benin,West Africa,2017,M,25-34,... if she burns the food,6.5
7,Benin,West Africa,2017,M,15-24,... if she burns the food,8.3
357,Benin,West Africa,2017,F,15-24,... for at least one specific reason,29.8
357,Benin,West Africa,2017,F,25-34,... for at least one specific reason,32.7
357,Benin,West Africa,2017,F,35-49,... for at least one specific reason,33.7
77,Benin,West Africa,2017,F,15-24,... if she argues with him,19.1
77,Benin,West Africa,2017,F,25-34,... if she argues with him,21.7
77,Benin,West Africa,2017,F,35-49,... if she argues with him,22.3
147,Benin,West Africa,2017,F,15-24,... if she goes out without telling him,18.7
147,Benin,West Africa,2017,F,25-34,... if she goes out without telling him,22.2
147,Benin,West Africa,2017,F,35-49,... if she goes out without telling him,23.7
217,Benin,West Africa,2017,F,15-24,... if she neglects the children,20.5
217,Benin,West Africa,2017,F,25-34,... if she neglects the children,23.5
217,Benin,West Africa,2017,F,35-49,... if she neglects the children,24.5
287,Benin,West Africa,2017,F,15-24,... if she refuses to have sex with him,11.4
287,Benin,West Africa,2017,F,25-34,... if she refuses to have sex with him,12.9
287,Benin,West Africa,2017,F,35-49,... if she refuses to have sex with him,14.5
357,Benin,West Africa,2017,M,15-24,... for at least one specific reason,17.3
357,Benin,West Africa,2017,M,25-34,... for at least one specific reason,15.9
357,Benin,West Africa,2017,M,35-49,... for at least one specific reason,12.8
77,Benin,West Africa,2017,M,15-24,... if she argues with him,11.1
77,Benin,West Africa,2017,M,25-34,... if she argues with him,10.2
77,Benin,West Africa,2017,M,35-49,... if she argues with him,7.4
147,Benin,West Africa,2017,M,15-24,... if she goes out without telling him,10.5
147,Benin,West Africa,2017,M,25-34,... if she goes out without telling him,8.3
147,Benin,West Africa,2017,M,35-49,... if she goes out without telling him,7.2
217,Benin,West Africa,2017,M,15-24,... if she neglects the children,11.2
217,Benin,West Africa,2017,M,25-34,... if she neglects the children,9.7
217,Benin,West Africa,2017,M,35-49,... if she neglects the children,6.6
287,Benin,West Africa,2017,M,15-24,... if she refuses to have sex with him,7.7
