RecordID,Country,Region,Year,Gender,Demographics Response,Question,Value
3,Angola,Central Africa,2015,F,Higher,... if she burns the food,0.9
3,Angola,Central Africa,2015,F,Secondary,... if she burns the food,5.3
3,Angola,Central Africa,2015,F,Primary,... if she burns the food,13.4
3,Angola,Central Africa,2015,F,No education,... if she burns the food,17.3
3,Angola,Central Africa,2015,M,Higher,... if she burns the food,0.7
3,Angola,Central Africa,2015,M,Secondary,... if she burns the food,5.0
3,Angola,Central Africa,2015,M,Primary,... if she burns the food,8.1
3,Angola,Central Africa,2015,M,No education,... if she burns the food,10.8
353,Angola,Central Africa,2015,F,Higher,... for at least one specific reason,7.0
353,Angola,Central Africa,2015,F,No education,... for at least one specific reason,34.5
353,Angola,Central Africa,2015,F,Primary,... for at least one specific reason,30.9
353,Angola,Central Africa,2015,F,Secondary,... for at least one specific reason,16.8
73,Angola,Central Africa,2015,F,Higher,... if she argues with him,3.0
73,Angola,Central Africa,2015,F,No education,... if she argues with him,23.9
73,Angola,Central Africa,2015,F,Primary,... if she argues with him,19.1
73,Angola,Central Africa,2015,F,Secondary,... if she argues with him,8.2
143,Angola,Central Africa,2015,F,Higher,... if she goes out without telling him,2.8
143,Angola,Central Africa,2015,F,No education,... if she goes out without telling him,21.0
143,Angola,Central Africa,2015,F,Primary,... if she goes out without telling him,18.5
143,Angola,Central Africa,2015,F,Secondary,... if she goes out without telling him,8.5
213,Angola,Central Africa,2015,F,Higher,... if she neglects the children,4.2
213,Angola,Central Africa,2015,F,No education,... if she neglects the children,22.3
213,Angola,Central Africa,2015,F,Primary,... if she neglects the children,20.1
213,Angola,Central Africa,2015,F,Secondary,... if she neglects the children,10.8
283,Angola,Central Africa,2015,F,Higher,... if she refuses to have sex with him,2.5
283,Angola,Central Africa,2015,F,No education,... if she refuses to have sex with him,19.9
283,Angola,Central Africa,2015,F,Primary,... if she refuses to have sex with him,14.2
283,Angola,Central Africa,2015,F,Secondary,... if she refuses to have sex with him,5.3
353,Angola,Central Africa,2015,M,Higher,... for at least one specific reason,3.9
353,Angola,Central Africa,2015,M,No education,... for at least one specific reason,26.7
353,Angola,Central Africa,2015,M,Primary,... for at least one specific reason,26.2
353,Angola,Central Africa,2015,M,Secondary,... for at least one specific reason,18.1
73,Angola,Central Africa,2015,M,Higher,... if she argues with him,1.6
73,Angola,Central Africa,2015,M,No education,... if she argues with him,15.9
73,Angola,Central Africa,2015,M,Primary,... if she argues with him,14.9
73,Angola,Central Africa,2015,M,Secondary,... if she argues with him,9.2
143,Angola,Central Africa,2015,M,Higher,... if she goes out without telling him,1.6
143,Angola,Central Africa,2015,M,No education,... if she goes out without telling him,13.4
143,Angola,Central Africa,2015,M,Primary,... if she goes out without telling him,11.2
143,Angola,Central Africa,2015,M,Secondary,... if she goes out without telling him,6.8
213,Angola,Central Africa,2015,M,Higher,... if she neglects the children,1.8
213,Angola,Central Africa,2015,M,No education,... if she neglects the children,18.3
213,Angola,Central Africa,2015,M,Primary,... if she neglects the children,17.1
213,Angola,Central Africa,2015,M,Secondary,... if she neglects the children,9.1
283,Angola,Central Africa,2015,M,Higher,... if she refuses to have sex with him,0.6
283,Angola,Central Africa,2015,M,No education,... if she refuses to have sex with him,11.2
283,Angola,Central Africa,2015,M,Primary,... if she refuses to have sex with him,7.6
283,Angola,Central Africa,2015,M,Secondary,... if she refuses to have sex with him,4.4
7,Benin,West Africa,2017,F,Higher,... if she burns the food,1.0
7,Benin,West Africa,2017,F,Secondary,... if she burns the food,9.5
7,Benin,West Africa,2017,F,Primary,... if she burns the food,13.0
7,Benin,West Africa,2017,F,No education,... if she burns the food,16.5
7,Benin,West Africa,2017,M,Higher,... if she burns the food,1.1
7,Benin,West Africa,2017,M,Secondary,... if she burns the food,4.3
7,Benin,West Africa,2017,M,Primary,... if she burns the food,6.3
7,Benin,West Africa,2017,M,No education,... if she burns the food,10.7
357,Benin,West Africa,2017,F,Higher,... for at least one specific reason,4.7
357,Benin,West Africa,2017,F,No education,... for at least one specific reason,37.3
357,Benin,West Africa,2017,F,Primary,... for at least one specific reason,29.4
357,Benin,West Africa,2017,F,Secondary,... for at least one specific reason,23.2
77,Benin,West Africa,2017,F,Higher,... if she argues with him,3.0
77,Benin,West Africa,2017,F,No education,... if she argues with him,25.9
77,Benin,West Africa,2017,F,Primary,... if she argues with him,17.2
77,Benin,West Africa,2017,F,Secondary,... if she argues with him,13.4
147,Benin,West Africa,2017,F,Higher,... if she goes out without telling him,2.4
147,Benin,West Africa,2017,F,No education,... if she goes out without telling him,26.5
147,Benin,West Africa,2017,F,Primary,... if she goes out without telling him,17.8
147,Benin,West Africa,2017,F,Secondary,... if she goes out without telling him,13.2
217,Benin,West Africa,2017,F,Higher,... if she neglects the children,2.8
217,Benin,West Africa,2017,F,No education,... if she neglects the children,27.2
217,Benin,West Africa,2017,F,Primary,... if she neglects the children,19.6
217,Benin,West Africa,2017,F,Secondary,... if she neglects the children,16.0
287,Benin,West Africa,2017,F,Higher,... if she refuses to have sex with him,1.4
287,Benin,West Africa,2017,F,No education,... if she refuses to have sex with him,16.5
287,Benin,West Africa,2017,F,Primary,... if she refuses to have sex with him,10.6
287,Benin,West Africa,2017,F,Secondary,... if she refuses to have sex with him,6.5
357,Benin,West Africa,2017,M,Higher,... for at least one specific reason,3.6
357,Benin,West Africa,2017,M,No education,... for at least one specific reason,21.1
357,Benin,West Africa,2017,M,Primary,... for at least one specific reason,14.8
357,Benin,West Africa,2017,M,Secondary,... for at least one specific reason,12.5
77,Benin,West Africa,2017,M,Higher,... if she argues with him,1.7
77,Benin,West Africa,2017,M,No education,... if she argues with him,14.0
77,Benin,West Africa,2017,M,Primary,... if she argues with him,9.4
77,Benin,West Africa,2017,M,Secondary,... if she argues with him,7.0
147,Benin,West Africa,2017,M,Higher,... if she goes out without telling him,1.2
147,Benin,West Africa,2017,M,No education,... if she goes out without telling him,11.6
147,Benin,West Africa,2017,M,Primary,... if she goes out without telling him,9.3
147,Benin,West Africa,2017,M,Secondary,... if she goes out without telling him,7.1
217,Benin,West Africa,2017,M,Higher,... if she neglects the children,0.8
217,Benin,West Africa,2017,M,No education,... if she neglects the children,13.5
217,Benin,West Africa,2017,M,Primary,... if she neglects the children,8.4
217,Benin,West Africa,2017,M,Secondary,... if she neglects the children,7.2
287,Benin,West Africa,2017,M,Higher,... if she refuses to have sex with him,0.7
287,Benin,West Africa,2017,M,No education,... if she refuses to have sex with him,11.1
287,Benin,West Africa,2017,M,Primary,... if she refuses to have sex with him,6.0
287,Benin,West Africa,2017,M,Secondary,... if she refuses to have sex with him,4.6
9,Burkina Faso,West Africa,2010,F,Higher,... if she burns the food,1.4
9,Burkina Faso,West Africa,2010,F,Secondary,... if she burns the food,3.1
9,Burkina Faso,West Africa,2010,F,Primary,... if she burns the food,8.1
9,Burkina Faso,West Africa,2010,F,No education,... if she burns the food,11.2
9,Burkina Faso,West Africa,2010,M,Higher,... if she burns the food,5.7
9,Burkina Faso,West Africa,2010,M,Secondary,... if she burns the food,6.3
9,Burkina Faso,West Africa,2010,M,No education,... if she burns the food,7.6
9,Burkina Faso,West Africa,2010,M,Primary,... if she burns the food,8.3
359,Burkina Faso,West Africa,2010,F,Higher,... for at least one specific reason,6.3
359,Burkina Faso,West Africa,2010,F,No education,... for at least one specific reason,47.5
359,Burkina Faso,West Africa,2010,F,Primary,... for at least one specific reason,38.1
359,Burkina Faso,West Africa,2010,F,Secondary,... for at least one specific reason,26.6
79,Burkina Faso,West Africa,2010,F,Higher,... if she argues with him,2.0
79,Burkina Faso,West Africa,2010,F,No education,... if she argues with him,34.7
79,Burkina Faso,West Africa,2010,F,Primary,... if she argues with him,26.0
79,Burkina Faso,West Africa,2010,F,Secondary,... if she argues with him,14.1
149,Burkina Faso,West Africa,2010,F,Higher,... if she goes out without telling him,0.3
149,Burkina Faso,West Africa,2010,F,No education,... if she goes out without telling him,34.4
149,Burkina Faso,West Africa,2010,F,Primary,... if she goes out without telling him,24.6
149,Burkina Faso,West Africa,2010,F,Secondary,... if she goes out without telling him,13.1
219,Burkina Faso,West Africa,2010,F,Higher,... if she neglects the children,3.8
219,Burkina Faso,West Africa,2010,F,No education,... if she neglects the children,33.4
219,Burkina Faso,West Africa,2010,F,Primary,... if she neglects the children,26.5
219,Burkina Faso,West Africa,2010,F,Secondary,... if she neglects the children,18.1
289,Burkina Faso,West Africa,2010,F,Higher,... if she refuses to have sex with him,0.0
289,Burkina Faso,West Africa,2010,F,No education,... if she refuses to have sex with him,22.7
289,Burkina Faso,West Africa,2010,F,Primary,... if she refuses to have sex with him,15.2
289,Burkina Faso,West Africa,2010,F,Secondary,... if she refuses to have sex with him,6.8
359,Burkina Faso,West Africa,2010,M,Higher,... for at least one specific reason,15.0
359,Burkina Faso,West Africa,2010,M,No education,... for at least one specific reason,37.7
359,Burkina Faso,West Africa,2010,M,Primary,... for at least one specific reason,33.5
359,Burkina Faso,West Africa,2010,M,Secondary,... for at least one specific reason,25.6
79,Burkina Faso,West Africa,2010,M,Higher,... if she argues with him,3.7
79,Burkina Faso,West Africa,2010,M,No education,... if she argues with him,22.5
79,Burkina Faso,West Africa,2010,M,Primary,... if she argues with him,21.7
79,Burkina Faso,West Africa,2010,M,Secondary,... if she argues with him,12.4
149,Burkina Faso,West Africa,2010,M,Higher,... if she goes out without telling him,2.8
149,Burkina Faso,West Africa,2010,M,No education,... if she goes out without telling him,20.6
149,Burkina Faso,West Africa,2010,M,Primary,... if she goes out without telling him,16.9
149,Burkina Faso,West Africa,2010,M,Secondary,... if she goes out without telling him,11.1
219,Burkina Faso,West Africa,2010,M,Higher,... if she neglects the children,9.8
219,Burkina Faso,West Africa,2010,M,No education,... if she neglects the children,22.2
219,Burkina Faso,West Africa,2010,M,Primary,... if she neglects the children,18.9
219,Burkina Faso,West Africa,2010,M,Secondary,... if she neglects the children,15.8
289,Burkina Faso,West Africa,2010,M,Higher,... if she refuses to have sex with him,0.7
289,Burkina Faso,West Africa,2010,M,No education,... if she refuses to have sex with him,13.6
289,Burkina Faso,West Africa,2010,M,Primary,... if she refuses to have sex with him,8.1
289,Burkina Faso,West Africa,2010,M,Secondary,... if she refuses to have sex with him,6.7
10,Burundi,East Africa,2016,F,Higher,... if she burns the food,1.1
10,Burundi,East Africa,2016,F,Secondary,... if she burns the food,14.8
