RecordID,Country,Region,Year,Gender,Demographics Response,Question,Value
3,Angola,Central Africa,2015,F,Unemployed,... if she burns the food,8.8
3,Angola,Central Africa,2015,F,Employed for cash,... if she burns the food,9.9
3,Angola,Central Africa,2015,F,Employed for kind,... if she burns the food,14.3
3,Angola,Central Africa,2015,M,Employed for cash,... if she burns the food,5.5
3,Angola,Central Africa,2015,M,Unemployed,... if she burns the food,6.1
3,Angola,Central Africa,2015,M,Employed for kind,... if she burns the food,7.9
353,Angola,Central Africa,2015,F,Employed for cash,... for at least one specific reason,26.6
353,Angola,Central Africa,2015,F,Employed for kind,... for at least one specific reason,28.4
353,Angola,Central Africa,2015,F,Unemployed,... for at least one specific reason,21.3
73,Angola,Central Africa,2015,F,Employed for cash,... if she argues with him,16.1
73,Angola,Central Africa,2015,F,Employed for kind,... if she argues with him,19.1
73,Angola,Central Africa,2015,F,Unemployed,... if she argues with him,11.6
143,Angola,Central Africa,2015,F,Employed for cash,... if she goes out without telling him,15.2
143,Angola,Central Africa,2015,F,Employed for kind,... if she goes out without telling him,17.3
143,Angola,Central Africa,2015,F,Unemployed,... if she goes out without telling him,11.7
213,Angola,Central Africa,2015,F,Employed for cash,... if she neglects the children,16.7
213,Angola,Central Africa,2015,F,Employed for kind,... if she neglects the children,18.9
213,Angola,Central Africa,2015,F,Unemployed,... if she neglects the children,14.0
283,Angola,Central Africa,2015,F,Employed for cash,... if she refuses to have sex with him,12.4
283,Angola,Central Africa,2015,F,Employed for kind,... if she refuses to have sex with him,14.7
283,Angola,Central Africa,2015,F,Unemployed,... if she refuses to have sex with him,8.2
353,Angola,Central Africa,2015,M,Employed for cash,... for at least one specific reason,19.7
353,Angola,Central Africa,2015,M,Employed for kind,... for at least one specific reason,23.6
353,Angola,Central Africa,2015,M,Unemployed,... for at least one specific reason,19.0
73,Angola,Central Africa,2015,M,Employed for cash,... if she argues with him,10.9
73,Angola,Central Africa,2015,M,Employed for kind,... if she argues with him,13.3
73,Angola,Central Africa,2015,M,Unemployed,... if she argues with him,9.5
143,Angola,Central Africa,2015,M,Employed for cash,... if she goes out without telling him,8.2
143,Angola,Central Africa,2015,M,Employed for kind,... if she goes out without telling him,9.2
143,Angola,Central Africa,2015,M,Unemployed,... if she goes out without telling him,7.7
213,Angola,Central Africa,2015,M,Employed for cash,... if she neglects the children,11.3
213,Angola,Central Africa,2015,M,Employed for kind,... if she neglects the children,13.8
213,Angola,Central Africa,2015,M,Unemployed,... if she neglects the children,11.1
283,Angola,Central Africa,2015,M,Employed for cash,... if she refuses to have sex with him,5.2
283,Angola,Central Africa,2015,M,Employed for kind,... if she refuses to have sex with him,7.3
283,Angola,Central Africa,2015,M,Unemployed,... if she refuses to have sex with him,5.4
7,Benin,West Africa,2017,F,Unemployed,... if she burns the food,11.7
7,Benin,West Africa,2017,F,Employed for kind,... if she burns the food,14.4
7,Benin,West Africa,2017,F,Employed for cash,... if she burns the food,14.6
7,Benin,West Africa,2017,M,Unemployed,... if she burns the food,4.4
7,Benin,West Africa,2017,M,Employed for cash,... if she burns the food,6.6
7,Benin,West Africa,2017,M,Employed for kind,... if she burns the food,11.0
357,Benin,West Africa,2017,F,Employed for cash,... for at least one specific reason,33.1
357,Benin,West Africa,2017,F,Employed for kind,... for at least one specific reason,30.6
357,Benin,West Africa,2017,F,Unemployed,... for at least one specific reason,29.3
