RecordID,Country,Region,Year,Gender,Demographics Response,Question,Value
3,Angola,Central Africa,2015,F,Never married,... if she burns the food,9.8
3,Angola,Central Africa,2015,F,Married or living together,... if she burns the food,10.8
3,Angola,Central Africa,2015,F,"Widowed, divorced, separated",... if she burns the food,12.2
3,Angola,Central Africa,2015,M,Married or living together,... if she burns the food,4.4
3,Angola,Central Africa,2015,M,Never married,... if she burns the food,7.3
3,Angola,Central Africa,2015,M,"Widowed, divorced, separated",... if she burns the food,9.3
353,Angola,Central Africa,2015,F,Married or living together,... for at least one specific reason,27.2
353,Angola,Central Africa,2015,F,Never married,... for at least one specific reason,21.1
353,Angola,Central Africa,2015,F,"Widowed, divorced, separated",... for at least one specific reason,28.5
73,Angola,Central Africa,2015,F,Married or living together,... if she argues with him,16.7
73,Angola,Central Africa,2015,F,Never married,... if she argues with him,12.3
73,Angola,Central Africa,2015,F,"Widowed, divorced, separated",... if she argues with him,17.3
143,Angola,Central Africa,2015,F,Married or living together,... if she goes out without telling him,15.9
143,Angola,Central Africa,2015,F,Never married,... if she goes out without telling him,11.9
143,Angola,Central Africa,2015,F,"Widowed, divorced, separated",... if she goes out without telling him,15.4
213,Angola,Central Africa,2015,F,Married or living together,... if she neglects the children,17.2
213,Angola,Central Africa,2015,F,Never married,... if she neglects the children,14.1
213,Angola,Central Africa,2015,F,"Widowed, divorced, separated",... if she neglects the children,19.0
283,Angola,Central Africa,2015,F,Married or living together,... if she refuses to have sex with him,12.5
283,Angola,Central Africa,2015,F,Never married,... if she refuses to have sex with him,8.6
283,Angola,Central Africa,2015,F,"Widowed, divorced, separated",... if she refuses to have sex with him,16.2
353,Angola,Central Africa,2015,M,Married or living together,... for at least one specific reason,19.1
353,Angola,Central Africa,2015,M,Never married,... for at least one specific reason,20.6
353,Angola,Central Africa,2015,M,"Widowed, divorced, separated",... for at least one specific reason,25.1
73,Angola,Central Africa,2015,M,Married or living together,... if she argues with him,10.5
73,Angola,Central Africa,2015,M,Never married,... if she argues with him,10.6
73,Angola,Central Africa,2015,M,"Widowed, divorced, separated",... if she argues with him,17.4
143,Angola,Central Africa,2015,M,Married or living together,... if she goes out without telling him,8.1
143,Angola,Central Africa,2015,M,Never married,... if she goes out without telling him,8.0
143,Angola,Central Africa,2015,M,"Widowed, divorced, separated",... if she goes out without telling him,12.8
213,Angola,Central Africa,2015,M,Married or living together,... if she neglects the children,11.7
213,Angola,Central Africa,2015,M,Never married,... if she neglects the children,11.2
213,Angola,Central Africa,2015,M,"Widowed, divorced, separated",... if she neglects the children,16.7
283,Angola,Central Africa,2015,M,Married or living together,... if she refuses to have sex with him,5.1
283,Angola,Central Africa,2015,M,Never married,... if she refuses to have sex with him,5.8
283,Angola,Central Africa,2015,M,"Widowed, divorced, separated",... if she refuses to have sex with him,9.8
7,Benin,West Africa,2017,F,Never married,... if she burns the food,11.8
7,Benin,West Africa,2017,F,Married or living together,... if she burns the food,14.6
